title,description,category,resolution,priority
Database Security Issue,We think there may be a security issue with the database.,Database,1. Contact the database administrator immediately. 2. Provide the administrator with as much information as possible about the issue.,Medium
Need Database Support,We need support for our database.,Database,1. Contact the database administrator for help. 2. Provide the administrator with a description of the issue.,Medium
Database Performance Issue,The database is not performing well.,Database,1. Check that the database is properly optimized. 2. Contact the database administrator to report the issue.,Medium
Database Recovery Issue,We need help recovering data from the database.,Database,1. Contact the database administrator for help. 2. Provide the administrator with a description of the issue.,Medium
Need Database Consulting,We need consulting services for our database.,Database,1. Contact the database administrator for help. 2. Provide the administrator with a description of what you need help with.,Medium
Database Design Issue,We think there may be an issue with the design of our database.,Database,1. Contact the database administrator for help. 2. Provide the administrator with a description of the issue.,Medium
Database Implementation Issue,We are having trouble implementing a new database.,Database,1. Contact the database administrator for help. 2. Provide the administrator with a description of the issue.,Medium
Need Database Upgrade,We need to upgrade our database.,Database,1. Contact the database administrator for help. 2. Provide the administrator with a description of what you need to upgrade.,Medium
Database Maintenance Issue,We are having trouble with the maintenance of our database.,Database,1. Contact the database administrator for help. 2. Provide the administrator with a description of the issue.,Medium
Database Tuning Issue,We need help tuning our database for better performance.,Database,1. Contact the database administrator for help. 2. Provide the administrator with a description of what you need help with.,Medium
Need Database Documentation,We need documentation for our database.,Database,1. Contact the database administrator for help. 2. Provide the administrator with a description of what you need documented.,Low
Database Testing Issue,We are having trouble testing our database.,Database,1. Contact the database administrator for help. 2. Provide the administrator with a description of the issue.,Medium
Database Deployment Issue,We are having trouble deploying our database.,Database,1. Contact the database administrator for help. 2. Provide the administrator with a description of the issue.,Medium
Need Database Monitoring,We need help monitoring our database.,Database,1. Contact the database administrator for help. 2. Provide the administrator with a description of what you need help with.,Medium
Database Security Audit,We need to perform a security audit on our database.,Database,1. Contact the database administrator for help. 2. Provide the administrator with a description of what you need help with.,Medium
Database Compliance Issue,We are having trouble with compliance issues related to our database.,Database,1. Contact the database administrator for help. 2. Provide the administrator with a description of the issue.,Medium
Need Database Disaster Recovery,We need help with disaster recovery for our database.,Database,1. Contact the database administrator for help. 2. Provide the administrator with a description of what you need help with.,Medium
Database High Availability Issue,We are having trouble with high availability issues related to our database.,Database,1. Contact the database administrator for help. 2. Provide the administrator with a description of the issue.,Medium
Forgotten Password,I forgot my login password and I don't know how to reset it.,Network,1. Go to the login page. 2. Click 'Forgot Password'. 3. Enter your username and follow the prompts.,Low
Printer Not Working,The printer in my office is not printing anything.,Network,1. Check the printer is turned on. 2. Check for paper jams. 3. Restart the printer.,Low
Need Adobe License,I need a license for Adobe Acrobat to edit PDF files.,Network,1. Submit a request to the IT department. 2. Provide your username and the software required.,Low
Monitor Not Turning On,My computer monitor won't turn on.,Network,1. Check the power cord is securely connected. 2. Try turning it on and off. 3. Check for loose connections.,Low
Guest WiFi Connection,How do I connect to the guest WiFi?,Network,1. Select the guest WiFi network. 2. Open a web browser and follow the prompts.,Low
Phishing Email Reported,I received a suspicious email and I think it's a phishing attempt.,Network,1. Do not click on any links. 2. Report the email to the IT department.,Medium
Internet Not Working,I don't have internet access on my computer.,Network,1. Check your network cable. 2. Restart your router. 3. Check with your IT department.,Low
VPN Connection Issue,I'm having trouble connecting to the company VPN.,Network,1. Check your username and password. 2. Restart your computer. 3. Check with your IT department.,Low
Network Drive Access,I need access to a network drive.,Network,1. Submit a request to the IT department. 2. Provide your username and the drive required.,Low
Slow Internet Speed,My internet speed is very slow.,Network,1. Check for software updates. 2. Restart your router. 3. Check with your IT department.,Low
Wireless Mouse Not Working,My wireless mouse is not working.,Network,1. Check the batteries. 2. Restart your computer. 3. Check for interference.,Low
Ethernet Cable Issue,My Ethernet cable is not working.,Network,1. Check the cable for damage. 2. Try a different cable. 3. Check with your IT department.,Low
Network Printer Installation,I need to install a network printer.,Network,1. Go to the printer settings. 2. Add a new printer. 3. Follow the prompts.,Low
WiFi Password Reset,I need to reset my WiFi password.,Network,1. Go to the WiFi settings. 2. Select 'Forget Network'. 3. Re-enter the password.,Low
Laptop Not Connecting to WiFi,My laptop won't connect to the WiFi.,Network,1. Restart your laptop. 2. Check the WiFi settings. 3. Check with your IT department.,Low
Desktop Computer Not Turning On,My desktop computer won't turn on.,Network,1. Check the power cord. 2. Try turning it on and off. 3. Check for loose connections.,Low
Phone Not Connecting to WiFi,My phone won't connect to the WiFi.,Network,1. Restart your phone. 2. Check the WiFi settings. 3. Check with your IT department.,Low
Tablet Not Connecting to WiFi,My tablet won't connect to the WiFi.,Network,1. Restart your tablet. 2. Check the WiFi settings. 3. Check with your IT department.,Low
